"NAME","CATEGORY","상가업소번호","상호명","상권업종대분류명","상권업종중분류명","시도명","시군구명","법정동명","지번주소","도로명","구우편번호","경도","위도","거리"
"지누스푸드","서양식","MA010120220810457413","지누스푸드","음식","서양식","서울특별시","마포구","도화동","서울특별시 마포구 도화동 538","서울특별시 마포구 큰우물로",121743,126.9462787,37.54128669,311
"춘파임대감댁","한식","MA010120220810306940","춘파임대감댁","음식","한식","서울특별시","마포구","도화동","서울특별시 마포구 도화동 25-13","서울특별시 마포구 마포대로",121812,126.9513151,37.54283627,355
"크래프트헌터","기타 간이","MA010120220810497189","크래프트헌터","음식","기타 간이","서울특별시","마포구","도화동","서울특별시 마포구 도화동 195-5","서울특별시 마포구 도화4길",121812,126.9508977,37.54112959,429
"해미소참치","일식","MA010120220810493391","해미소참치","음식","일식","서울특별시","마포구","신공덕동","서울특별시 마포구 신공덕동 171","서울특별시 마포구 백범로",121802,126.9524467,37.5428373,450
"토마토","한식","MA010120220810577365","토마토","음식","한식","서울특별시","마포구","대흥동","서울특별시 마포구 대흥동 542","서울특별시 마포구 토정로31길",121811,126.9441664,37.54343032,300
"선명희피자","기타 간이","MA010120220810410144","선명희피자","음식","기타 간이","서울특별시","마포구","도화동","서울특별시 마포구 도화동 335-1","서울특별시 마포구 도화길",121813,126.9482397,37.54024094,412
"마법주방에프앤비","기타 간이","MA010120220810426897","마법주방에프앤비","음식","기타 간이","서울특별시","마포구","도화동","서울특별시 마포구 도화동 173","서울특별시 마포구 마포대로",121745,126.9478042,37.54224639,186
"비닐하우스","서양식","MA010120220810419176","비닐하우스","음식","서양식","서울특별시","마포구","염리동","서울특별시 마포구 염리동 157-16","서울특별시 마포구 백범로24길",121873,126.9454097,37.54594633,294
"파인공덕역북카페지점","비알코올 ","MA010120220810426770","파인공덕역북카페지점","음식","비알코올 ","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 423-29","서울특별시 마포구 마포대로",121861,126.9513481,37.54452151,345
"동경암","기타 간이","MA010120220810811148","동경암","음식","기타 간이","서울특별시","마포구","도화동","서울특별시 마포구 도화동 560","서울특별시 마포구 독막로",121815,126.947862,37.54295873,109
"이디야커피공덕롯데캐슬","비알코올 ","MA010120220810877478","이디야커피공덕롯데캐슬","음식","비알코올 ","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 467","서울특별시 마포구 마포대로",121916,126.9508646,37.5451119,324
"산까치","한식","MA010120220811288371","산까치","음식","한식","서울특별시","마포구","도화동","서울특별시 마포구 도화동 179-1","서울특별시 마포구 도화길",121812,126.9495845,37.54117198,354
"아인","비알코올 ","MA010120220811507666","아인","음식","비알코올 ","서울특별시","마포구","염리동","서울특별시 마포구 염리동 82-2","서울특별시 마포구 숭문길",121872,126.9453595,37.54870307,567
